review,stars
"El hotel está muy bonito y la ubicación es excelente, ya sea que tengas juntas de trabajo en San Pedro o quieras caminar por el centro. La atención del personal es excelente, muy atentos desde el principio y durante toda la estancia muy amables y seriviciales.",50
El check in es lento y con mala actitud de ayudarte si llegas antes del tiempo del check in Desorden de los empleados para hacer q varios huespedes hagan el tramite en la recepcion El restaurant esta siempre oliendo a aceite quemado y se hace dificil estar mas de 15 min,20
"Las llaves se bloquean a las 12 hrs, los elevadores son insuficientes cuando hay mucha gente, en ocasiones huele a alcantarilla en l habitación, el mobiliarios en ocasiones está en malas condiciones. La relación precio y comodidad no es favorable para el hotel.",40
El hotel me pareció caro vs. la calidad de las instalaciones. Adicional creo que hay área de oportunidad en los menús tanto del restaurant como del room service; además me parece faltan más opciones saludables / ligeras para los desayunos / cenas por ejemplo.  El servicio en la terraza del restaurant me pareció mucho muy lento las 2 veces que lo utilicé. Me  cobraron mal la cuenta en 3 de los 7 días que me hospedé.,30
"Es in lio entrar al hotel, llegamos y había una conferencia, mil gente saliendo, Nadia nos sabía dar info de la recepción y los elevadores estaban saturados, mi habitación era de 1 cama king y me dieron de dos con un tamaño mucho más chico que el de la foto, hay un escalón pegado al gran cristal de la habitación lo cual hace que casi me caiga no creo que hiera resistido el vidrio, el restaurante tiene servicio hasta las 10:30 y te empiezan a correr del bar tmb y ni en el lobby nos dejaron estar nos venía persiguiendo un guardia, eso fue pésimo! La comida no estaba nada wow ni la terraza tampoco, la verdad no regresaría una noche antes me quede en un hotel nuevo un poco antes de ese y las habitaciones lo triple de tamaño, nuevo también con desayuno incluido y mejor precio!",10
"En general es muy bonito y las instalaciones están en muy buen estado, todo limpio y con muy buen espacio. Las vistas de la ciudad son muy buenas. La alberca está muy bien, él uno detalle es que no está señalizada en los elevadores. El acceso está un poco complicado si traes carro y tiene costo por noche.",50
"Estupendo hotel, está ubicado en el corazón de Monterrey, sobre una de las avenidas más importantes. Tiene una vista increíble al cerro de la silla, las habitaciones son grandes y espaciosas, tiene todo el confort para un buen descanso. El restaurante sirve alimentos de muy buena calidad y el servicio es maravilloso.",50
El hotel está impecable en su servicio y en su limpieza Cuenta con muy buena ubicación y accesos El bufet de desayuno esta muy bien presentado El personal tiene una excelente actitud de servicio  Las habitaciones son muy acogedoras,50
"El hotel como todo buen Fiesta Americana cumple la expectativa, al estar no solo bien ubicado, sino con unas instalaciones muy recomendables, habitación amplia y bien distribuida, muy cómoda, las almohadas que te permiten tener una excelente calidad de sueño y en general que permiten que la estancia haga tener un buen descanso y permitir hacer más cómoda la estancia.",50
"La ubicación, amabilidad disposición y amabilidad de los empleados del hotel volvieron mi estancia excelente. Reconocimiento especial a Raymundo de Comedor y al Concierge Alfredo siempre estuvieron atentos de que no me faltara nada, adicional me apoyaron en las solicitudes que tuve.",50
"tuve la oportunidad de disfrutar de 4 días en MTY en el hotel Fiesta Americana Pabellón M y quede satisfecho, sus instalaciones, el personal y la comida fueron el motivo para disfrutar la estancia.  el lugar donde se encuentra permitió que no gastara mucho en el transporte y me hiciera muy fácil desplazarme.",50
Muy buen hotel. Muy amable el personal. Muy bien la limpieza.  El desayuno era excelente.  Cuenta con gimnasio y piscina.  Con la posibilidad de acceso a Centro de Convenciones en el mismo edificio.  Y variedad de restaurantes.  Me tocó una habitación con una vista increíble.,50
"El personal nada amable de mostrador, la comida es mala, no nos gusto la cara no hay variedad y tampoco el desayuno Bufett ambos sin variedad y mala calidad en alimentos, los cuartos muy cómodos y limpios, pero un día me folía la cabeza y llame a servicio a cuarto para pedir unos analgésicos y la persona de mostrador solo me dijo que no tenían y eso es muy poco amable y descortés para ser la cadena de Hoteles fiesta Americana que es, el bar no tenía lo suficiente en la habitación, el bell boy casi pierde nuestras maletas al salir del hotel porq casi se las da a otra persona en el estacionamiento y solo por no preguntarnos en donde queríamos el equipaje.",30
"La confirmación de reservación del hotel por correo no incluye hora de check in, perdí literalmente 3 horas para esperar. El estacionamiento no fue gratuito y pague extra por mi estancia. En la cama habían pelos de hombre y mujer, claramente lo limpiaron nuestro cuarto. Quería sorprender a mi esposa en su aniversario y resultó un desastre. No limpian el cuarto adecuadamente ya que se encuentran residuos en diferentes partes. El room service no tiene entendimiento con lo que pides; pedi 2 cubetas de hielo y 2 vasos y sólo me trajeron 1 cubeta.",10
"Excelente lugar para ir hacer cualquier actividad , hay de todo yo fui aúna Expo y estuvo padrisimo súper limpio ,mucha seguridad fácil de entrar estacionamiento, salones grandes y mucha  Seguridad , el domo padrisimo y la vista genial sin duda un gran lugar",50
"Es la segunda vez que nos hospedamos en el hotel, nos encanta pero no me agrada que cobren extra por el estacionamiento. Fuimos en pareja y es muy romántico por el lujo de las habitaciones, muy limpias y cómodas, excelente atención en general",50
"Excelente hotel. Nuevo, moderno, y con excelente vista por la altura de la torre donde se encuentra.  Su ubicación es excelente, céntrica y con fácil acceso a las principales avenidas de la ciudad.   El servicio es muy bueno. Alfredo, de Recepción, otorga un gran servicio personalizado y siempre está atento a las necesidades de los huéspedes. Alfredo es un excelente elemento que hace la diferencia.   Hotel totalmente recomendable.",50
"Si piensan alojarse en este hotel durante el mes de diciembre, pidan que su habiation este lo mas alejada de el piso 16, donde se hubican los salones de eventos. Mi estancia fue en el piso 15 y la musica estaba muy fuerte y se podia escuchar perfectamente en la habitacion. Viajando con niños  no fue posible dormir antes de las 12  de la noche, hora que el evento se termino, asi que no pudimos dormir tan bien.",40
"Ambiente tranquilo, personal atento y habitación cómoda. Agua caliente, cama grande y comoda. La vista bonita. Ubicación del hotel muy buena. La estancia en el hotel fue por 3 días 2 noches y se descansa muy bien.",40
"Nos encantó la habitación, buen diseño, muy limpia y con excelente vista a la ciudad y cerro de la silla. No alcanzamos a probar el restaurante pero en el bar pasamos un rato muy agradable. Gracias por el buen servicio de todo el personal, y ojalá pronto pudiéramos visitarlos.",50
"Me he hospedado algunas veces en este hotel...  No quiero dejar pasar la oportunidad de comentar mi ultima experiencia...  Llegamos algo tarde y solo estariamos una noche hospedados...  El trato de la señorita que nos recibió, simplemente fue espectacular... SABIA MI  APELLIDO!!! Que bien que ya lo identifiquen a uno ...  Lo que mas me sorprendió es que hizo referencia a un detalle que había tenido en otra ocasión y destacó que estarían muy al pendiente para que mi estancia fuera placentera... Mencionó que el Gerente estaba al tanto de mi llegada...   Que me dice esto ? Mi lectura es la siguiente: EL Gerente revisa a detalle la lista de huspedes y si han estado hospedados se anticipan a los requerimientos del cliente!!! NO DEJEN DE HACERLO!!! Despues de esto sin lugar a duda…",50
"les falta mucho en atención a los clientes, la recepción esta pésima  y la limpieza de los cuartos no es muy buena, además el restaurant huele mucho a comida ,   deberian implementar un programa de atencion a clientes y reconocimiento de los socios y niveles de fiesta rewards, no importa el nivel te atienden igual",30
"Hemos recibido un servicio por parte de todo el staff excelente, el Director General muy amable y atento, nos atendió personalmente, son un gran equipo de personas, muy profesionales y todos predispuestos a que nuestra estancia fuera la mejor que hemos tenido en un hotel. Para el traslado mis felicitaciones, puntualidad, atención y amabilidad excelente combinación. Han conseguido crear entre aromas y texturas, luz y espacios una experiencia inmejorable.” Excelente ubicación y una vista encantadora.",50
"El mejor hotel de Monterrey , el servicio de su personal es excelente , agradecimiento especial al Gerente General por todas las atenciones hacia nosotros   Habitaciones con una vista espectacular , cumplen con todas las medidas necesarias",50
"Todo excelente, la comida, la atención, el servicio. Definitivamente vamos a regresar.  La limpieza excelente. Me encantó y a mi esposo también. Nos quedamos muy satisfechos. Tiene muy buena ubicación.  Muy recomendable.",50
"Un excelente lugar para descansar, las instalaciones de primer nivel, un lugar con todas las medidas de sanidad la comida deliciosa y la atención del personal es de lujo, claro que volvería a hospedarme en mi próxima visita",50
"Ana Victoria excelente servicio y disponibilidad que siempre tuviste para la coordinación de nuestro evento, todo resultó tan lindo como lo teníamos planeado😍, mil gracias a ti y todo el personal que nos atendió durante el evento, a Luis, a todos los meseros sin excepción, al coordinador de ellos, al chef deliciosos bocadillos. Sin duda , eres una gran persona y muy profesional. Muchas gracias por todo !!!✅",50
Me parece increíble la ubicación y en general el servicio excelente! El desayuno súper rico y muy bien servido. La habitación súper cómoda y con excelente vista. El servicio de room Service fue bueno y con opciones para todos. Definitivamente regresaremos y lo recomendaremos.,50
"Estuvimos hospedados 1 semana con la familia. La limpieza del hotel es excelente y la atención del personal tambien, el room service es rápido y bueno… pero: solo hay dos elevadores para todo el hotel, y varios días uno estuvo malo. Nos cambiaron dos veces de habitación porque en una el agua salió terriblemente sucia y en la segunda el aire acondicionado se descompuso, el personal hizo su mejor esfuerzo por arreglar la situación que no estaba del todo en sus manos, pero definitivamente no me quedaría de nuevo ahi!",20
"el hotel excelente ubicación pero el personal sin ganas de trabajar, preguntamos a la señorita de recepción de un salón de belleza y su respuesta fue descortes como de molestia para mi esposa queno tenia idea de un salón de bellesa, pedí por el nivel que tengo un asenso la respuesta inmediata que NO pero molesta la señorita.",20
"La ubicación es excelente y mas si vienes a un evento en pabellon m, pero no esta recomendable fuera de eso, la atención es mala en recepción, hay que hacer fila de varios minutos para subir o bajar del elevador inclusive hasta 30 min por las filas que se hacen y que solo hay dos elevadores para 16 pisos y max de 4 personas por elevador por pandemia. El desayuno buffet es super basico , estaba frio todo eld esayuno tuvimos que pedir que lo calentaran y por 350 pesos por persona hay definitivamente mejor opciones, el cuarto olía feo, el aire acondicionado no enfria y vinieron los de mantenimiento y nos dijeron que lo regulan de abajo :( , las toallas estaban sucias como con maquillaje. Creo que es solo una muy buena opción si vienes a un evento dentro de pabellon m fuera de eso…",10
El hotel está localizado dentro del auditorium Pabellón de Monterrey. El servicio es muy bueno y las habitaciones son muy espaciosas. Su Gym tiene lo básico y tiene una linda vista. La Pool está muy buena. La comida del restaurante del piso 16 es buena aunque un poco caro.,40
Ok es la primera vez que me hospedo ahí y quede encanado con el servicio la atención y la ubicación y la habitación muy confortable y cómoda excelente servicio. Nos vemos en la próxima vez que visite Monterrey,50
"Excelente lugar, me encanto todo, pero lo mas destacable es el servicio tan personalizado que da la señorita Perla cruz, sin duda regreso la comida espectacular y muy atentos todo el personal, instalaciones de lujo y muy buena limpieza  de las instalaciones.",50
"Quiero felicitar profundamente a TODO el equipo de Fiesta Americana, gracias gracias gracias por organizarnos la MEJOR boda del mundo, excelente trato, excelentes habitaciones y excelente TODOOOO, Victoria mil gracias por ser tan buena y paciente con nosotros; ojalá pronto puedas organizar muchos más eventos de nosotros!! you're da best!!!",50
"Es un hotel que me gusta y el servicio en general es muy bueno, en esta ocasión necesitaba una cuna y la tuve que pedir al reservar, al hacer check in, al estar en habitación 2 veces más. El restaurante trabaja con personal mínimo, el desayuno tardaron 42 minutos en servirlo, con un bebe de 1 año es demasiado tiempo de espera para ""empezar"" a desayunar",50
"EXcelente atención, mi único opinión negativa es que a pesar de que estés pagando un costo de habitación en el hotel te quieran cobrar el estacionamiento ellos un mínimo de $130 por día, debería ser gratuito a los huéspedes.  todo lo demas excelente.",50
"Este hotel es un reflejo de lo que era inicialmente Grupo Posadas, cuando querian hacer la diferencia con otras cadenas de hoteles. Quiero felicitar a todo el personal del hotel por seguir los protocolos e higiene, por tener las instalaciones del hotel impecabes, por dar una excelente atencion al cliente y estar al pendiente de las necesidades de uno. Sin dejar de lado, que aun en tiempos de pandemia, han ido mas alla para que el huesped se sienta seguro. Felicidades a todo el personal y los directivos del hotel, deberian de servir de ejemplo para otros de la misma cadena",50
"Soy socio FR Y Huesped desde hace más de 10 años y es la primera ocasión en el grupo posadas de tener una mala atención y servicio argumentando por ""Recorte de personal"" y están muy saturados y por lo mismo NO pueden dar una atención a los Huespedes",10
"Me quedé dos noches en este hotel, de turista. Estuvo un poco complicado encontrar la entrada del hotel (hay que entrar por un estacionamiento público, no hay indicaciones y hay que bajar hasta un lugar específico del E5) y no hay servicio de valet ni nadie para explicar como entrar. Mismo dentro del edificio (es un centro comercial / centro de conciertos) el hotel está un poco escondido.  El personal de recepción estuvo amable, el cuarto muy amplio, limpio y confortable, con una vista muy bonita a las montañas y a la ciudad.  El precio me pareció razonable (excepto el estacionamiento: 160 pesos por día) y la ubicación bastante buena (10mn caminando de la plaza principal).  Lo recomiendo y volvería a este hotel.",40
No se me hace correcto que te cobren $130 pesos por el uso del estacionamiento. El precio de la noche no es tan económica como para todavía pagar el estacionamiento. Deben de solucionar ese tema para beneficio de los huéspedes,30
"El estacionamiento es una verdadera pesadilla, tiene uno que estacionarse en los lugares especificios de huesped y lo mandan a uno 5 Niveles abajo del hotel ... al pagar el estacionamiento en el hotel la validación del ticket no funciona, tuve que pagar de nuevo el estacionamiento ya que llevaba prisa... de lo contrario hay que regresar al hotel a ver que paso con el pago... cada que voy es el mismo problema. el area destinada para los clientes del hotel están 5 niveles abajo. Entrar y salir del hotel en auto es una pesadilla",30
El hotel cuenta con excelentes protocolos de bioseguridad que hacen que tu estancia sea muy segura y confortable! Todo el personal esta capacitado y cuenta con su equipo de protección personal.  Adicional que esta ubicado en una zona muy centrica de fácil acceso a las diferentes zonas de la ciudad.  ¡Ampliamente recomendable viajar a cualquier hotel de la cadena de grupo Posadas!,50
"Como huésped para mi es muy importante ver y sentir que en el hotel toman muy enserio todas las medidas de higiene y seguridad ante esta contingencia. El servicio y trato de primera calidad como siempre, los felicito!",50
El Hotel tuvo un problema de una fuga y en lo que lo arreglaban nos dejaron dos días sin agua. Como opción nos ofrecieron movernos al Hotel Ancira que es de la misma cadena pero es de una calidad muy inferior al Fiesta Americana.,20
"La vista de la habitacion (1117) una de las razones por las cuales elegi el hotel no fueron de mi agrado, con los aires acondicionados y techumbres, dudo que el hotel haya estado 100% me hubieran ofrecido un upgrade aunque sea con pago de diferencia por el detalle de la mejor vista y lo hubiera pagado...por otro lado el estacionamiento con cargo no estaba previamente aclarado en pagina Hoteles.com si se permiten publicitar y jalar reservas que sean cuidadosos en los detalles, y aunque no es tan caro es mejor saber y no llevarte sorpresas ademas del inconveniente de tener que validar el ticket en estrada y salida y que quien me atendio en el check inn parecia novato, nervioso, mala diccion y entre cortadas sus expresiones. Area de Front Desk del looby incomoda creo ahi el diseño…",40
"Desde instalaciones, hasta el trato del personal del hotel. Calidad 10/10.  La comida del restaurante esta muy buena, felicitaciones a l@s chefs, Ademas de pasar un momento muy relajado y sin preocupaciones.",50
"Está bien ubicado, cerca del Barrio Antiguo caminando, y en uber conectado a las principales avenidas de la ciudad. En planta Baja cuenta con restaurantes y la vista es muy bonita de la ciudad. En general, es una buena opción de hospedaje en MTY",40
Buena ubicacion excelente servicio. Todos muy amables y serviciales. Tiene muy buena vista desde la habitacion hacia la las montañas de monterrey y tambien desde el bar y restaurant. Y como opcion para comer esta el mismo pabellon m,50
"Muy buena infraestructura, padrisima decoración y amabilidad en el servicio, un poco excedido en el precio en relación a los alimentos, las habitaciones padrisimas solo que no es muy comodo la estrctura de bañera - baño.",40
"Este hotel se encuentra muy cerca de grandes atractivos de la Cd. de Monterrey, el Centro histórico, la Macropalaza, el parque Fundidora, además que está en un complejo de espectáculos llamado Pabellón M , con excelentes restaurantes y un edificio corporativo, el servicio es inmejorable!!",40
"Es uno de los hoteles más bonitos de Monterrey, la vista es excepcional, aparte de que esta muy cerca de todo el centro de Monterrey. Recomiendo la suite, sin duda con la mejor vista. El hotel esta muy limpio y cuenta con todo lo necesario y creo que más de lo necesario.",50
"Las habitaciones son muy cómodas, con muy buena vista.  Buenas camas y almohadas.  El restaurante bar muy atractivo con muy buena vista.  La ubicación en el mero centro de Monterrey es ideal, incluso para ir a un concierto",50
"Excelente servicio, regresaría de nuevo ya que vivo cerca de mty y es realmente una excelente opción para ir de fin de semana con mi familia, en general todo el servicio estuvo más que excelente  Lo recordaría sin duda alguna",50
"Fina atención a los detalles, personal bien capacitado y atento, vista maravillosa y limpieza en todo lo que tocas. Me tocó hospedarme cuando la calefacción de la alberca estaba averiada, por lo que era inutilizable y por el precio me hubiera gustado que la habitación fuera ligeramente más grande.",40
"buen hotel, excelente personal, amenidades basicas, vista al cerro de la silla, ubicacion centrica, dentro de centro comercial tiendas restaurantes auditorio, buen numero de canales de tv, rapidez check inn",50
"Nuevo , cómodo , vista espectacular, excelente servicio , buen precio , trato amable , excelente ubicación, limpio, buenas amenidades , estacionamiento techado , si te gustan  las alturas excelente hotel !!!",50
"Excelente lugar para descansar, ambiente agradable y personal muy amables, el hotel tiene las mejores vistas de la ciudad y un ambiente muy contemporaneo, muy bien ubicada, cerca de todo... En cuanto al servicio mi papás tuvieron problemas para aclimatarse en la habitación ya que no sabian moverle al clima y la respuesta de el personal de mantenimiento fue muy atento  para ayudarlos. El personal de el restaurante muy servicial y atentos pasamos una noche de cena muy agradeble, aunque solo fue una noche sin duda volveria....solo porque el clima no lo permitio me quede con ganas de probar la terraza con su alberca, otro motivo para regresar pronto....",50
"Muy buen lugar, céntrico, seguro y ubicado en un lugar seguro.  Atención buena y desayuno de muy buen gusto con gran variedad.  El único detalle es que el aseo diario es más bien superficial y me encontré cosas de otros huéspedes anteriores incluso tras tres días hospedado.",50
Buena ubicación.  Las habitaciones muy cómodas.  El estacionamiento es algo complicado de accesar aunque se percibe mucha seguridad. Me gustaría regresar y tener oportunidad de utilizar todos los servicios para tener una mejor valoración,40
"el hotel es lindo , muy  buena la ubicacion ya que esta en el centro de la iudad , la habitacion es sencillamente estupenda con una vista increible, recomendo la terraza del  bar  y del restaurante .  y si necesitas hacer ejercicio esta el gym y el canal de nado .",40
"La ubicación de este hotel, la cercanía de restaurantes y tiendas, así como la vista que le da a los huéspedes es una de las mejores opciones de hospedaje en esta pujante ciudad. Localizada adicionalmente a unas cuadras de la Macroplaza, la Catedral y los principales sitios de atracción del Monterrey antiguo",50
"Aunque mi viaje fue rápido la verdad es que me sentí de lo más cómoda con la habitación y los servicios del hotel. El desayuno muy rico, la cama muy cómoda y la atención a mis requerimientos especiales, de lo mejor.",50
"El desayuno inlcuido era deficiente y sin sabor. Los alimentos de bufette estaban frios y sin el sazon caracteristico de un hotel de 5 estrellas. Los platillos extras a la carta no tenian sabor.  Es necesario contar con un chef, que supervise la calidad de los alimentos. Si lo tienen deja mucho que desear para ser una cadena hotelera importante.",30
Me gusto laa habitacion y muy bonita vista se puede ver el amanecer por el cerro de la silla. Las camas muy comodas y las habitacines muy bonitas. El acceso exclusivo de los elevadores es genial aun y cuando esta en el pabellon M .,50
"Siempre me quedo en este hotel cuando voy a Mty, siempre impecable. El unico pero que le pongo es que ya no tiene valet parking, tienen una area de estacionamiento en el piso 5 pero caben muy pocos coches. Cobran 130 pesos el dia. El primer dia que llegue ellos mismos hacian la validacion del ticket y sali sin problema, el segundo dia, ellos unicamente sellaban el ticket, y tienes que pasar a otra oficina dentro del estacionamiemto firmar una hoja para poder salir del lugar. Arreglen esa situacion. Gracias",40
"Fue una gran experiencia la atención que te brindan desde que llegas. Te explican bien cualquier situación o status. La habitación con buen mobiliario, todo funcionando. Se me presentó un incidente con el tema de los amenities pero de inmediato lo solucionaron",50
"Me tocó una habitación increíble con dos frentes, vista al cerro de la silla y centro de ciudad.  Pido 14 sin igual.  Todo muy cerca y seguro.  Dentro de plaza comercia, macroplaza a cuatro cuadras, todo muy bien",50
"El hotel es muy bonito y la ubicación es muy buena. En la parte baja es un poco tumultoso ya que está dentro de una zona comercial y empresarial. Me gustó, pero para un viaje de turismo no se si seleccionaría este hotel nuevamente.",40
"Fue una grata experiencia conocer el hotel, los colaboradores son atentos y muy serviciales. Habitaciones muy acogedoras, limpias, tienen Spa, Sauna, Gimnasio todo lo que uno pueda uno requerir lo facilitan de manera eficiente. La calidad de los alimentos muy bueno. Ampliamente recomendado!",50
"Me encanta el Hotel siempre me hospedo allí cuando me quedo en Mty, la vista espectacular, el personal muy amable, el desayuno bufet Exelente, todos son siempre muy serviciales y amables pero en especial quiero que feliciten a Israel del Restaurante siempre es tan atentó y servicial en todas mis estadías",50
"Un hotel muy buen situado, excelente trato , gente amable y servicial, el conjunto de pabellón M hace que este hotel valga la pena, hay de todo tipo de alimentos y amenidades de manera fácil y rápida definitivamente lo recomiendo!",50
"Me encantó! Fue una estancia muy placentera, es un hotel muy vanguardista, cómodo, moderno, accesible, con una excelente ubicación y una vista inigualable. La sección de fiesta rewards esta de lujo, bien vale la pena disfrutarlo.",50
"Uno de los mejores hoteles en donde me he alojado!  Felicitaciones!    Adicionalmente todo el sector de restaurantes y Stadium conjugan con la excelencia. Vistas increíbles!  Piscina, Gimnasio, Bar en el piso 16... Todo excelente!!!",50
"Falta limpieza en habitaciones. Mejorar calidad de amenidades del baño. Mejorar servicio, higiene y calidad de alimentos en restaurante. El lugar está muy bien ubicado y el servicio en recepción es bueno.",20
"Excelentes condiciones de hospedaje.lo recomiendo ampliamente... la verdad que muy buena ubicacion y muy buen servicio. Limpieza en las habitaciones, no se escuchan ruidos de las calles. Y muy moderna la decoracion",50
Todo muy bien y bien servicio la comida y cena estan muy Ricas y super baratos todo estan muy centrico  en el lobby super amable  tienen un cine  adentro para que no salgas del hotel y un teatro donde hacen conciertos,50
Excelente atencion muy buena ubicacion cerca a museos y al centro  habitaciones comodas   habitaciones excelentes ubicado en el pabellon M con restaurantes y locales comerciales cerca super recomendadisimo para excelentes estadias,50
"Tiene muy buena ubicación, muy cerca de la macroplaza, museos y Santa Lucía.  El servicio es muy bueno, las instalaciones se mantienen limpias y bien conservadas. Las habitaciones son cómodas y tienen buenas vistas, en general servicio y calidad que esperas de un Fiesta Americana.",50
"Excelente hotel! Muy buena opción para hospedarte, muy buena atención y las habitaciones cómodas, limpias y con muy buen diseño, ya sea en pareja, familia o amigos lo recomiendo ampliamente, buena ubicación.",50
"Aunque es un hotel nuevo y las instalaciones están muy bien, el servicio al huésped puede mejorar, deberían tener más opciones para la comida, no sólo variedad sino también suficiente disponibilidad de la carta que ofrecen.",40
"La habitacion tiene una alfombra horrible y apesta. La alfombra del pasillo huele a guardado.  Ademas al abrir la llave el agua huele horrible, como a aguas tratadas! El personal del hotel muy lindo y me hicieron la devolucion. Pero deben de quitar esas alfombras YA!",10
"Fabuloso para asistir a eventos en el Pabellón M, hay variedad de restaurantes, muy recomendable ""La vaca argentina"" si gusta de comer carnes. Hay pequeñas tiendas de conveniencia así como conexión por un puente con una tienda comercial muy buena.",50
"El hotel está Nuevo, huele a nuevo, es moderno, cómodo, el desayuno excelente, está de lujo, relativamentebien ubicado, aunque un poco raro el baño, el retrete está muy encerrado y no tiene extractor.",50
Muy lindo el hotel. El personal muy amable. La comida deliciosa. Muy bien ubicado. Felicicotaciones al personal. Me gustaría que hubiera un sofá o sillón confortable en la habitación. Solo hay una silla,50
"Nos hospedamos una noche en el Fiesta Americana Pabellón porque fuimos a una boda de amigos. Toda la experiencia en el hotel fue placentera, desde la recepción del bellboy Miguel, el servicio en el bar, que tiene una terracita chiquita pero muy espectacular con una excelente vista. La misma vista del cerro de la silla la teníamos desde nuestra habitación, muy comoda y de buen tamaño. Las instalaciones estan en perfectas condiciones y todo el edificio tiene una arquitectura monumental, con diseño moderno y limpio. La ubicación es excelente para conocer monterrey, esta a dos cuadras de la macroplaza y el barrio antiguo, donde fuimos a desayunar el domingo y aprovechamos el mercadito que todos los domingo se pone en el barrio. Se camina muy a gusto en la zona, donde hay banqueta…",50
"El hotel Fiesta Americana se encuentra en un excelente lugar cerca de todo y dentro del Pabellón M, servicio excelente y habitaciones muy cómodas. El precio bastante accesible.  Una buena opción para hospedarse",50
"Excelente ubicación, no hay que salirse del complejo si vas a un concierto en el auditorio, excelente servicio y alimentos, el check in super rapido y hasta nos invitaron desayunito para información del grupo.",50
Hace pocas semanas agregaron una máquina de café y una de té. Me gusta la variedad y sabor que ofrecen. Gracias. La ubicación es conveniente y el acceso rápido. También la vista de Monterrey desde el restaurante / bar en el piso 16 de la torre.,50
"La estancia fue placentera, personal muy amable, la habitación impecable y la ubicación céntrica. No hubo queja alguna, al contrario.  La zona donde está es muy segura, en la misma plaza hay todos los servicios incluyendo cines.",50
"Buena ubicación, las habitaciones son espaciosas y bonitas. Se duerme bastante bien tanto por las  camas, ropa de cama y el silencio que hay en las noches.  El personal es super amable, nos ayudaron en todo lo que necesitamos. El buffet del desayuno puede mejorar un poco en cuanto al sazón.",50
"Apenas llegué hoy y hubo muchos inconvenientes. La habitación no estaba limpia. El servicio a la habitación tardó más de 1 hora en traer la comida, después de que comentaron que tardarían 30 mins. Solo hay 2 elevadores disponibles para huéspedes y tardan muchísimo. Y por último, el cuarto que nos asignaron no funcionó el clima y eso que vinieron a repararlo.  La recepcionista nos dijo que nos iba a marcar para avisarnos si nos asignarían otra habitación y sin decirnos nada llegaron a movernos de cuarto. Les pedimos tiempo y se fueron, ahora seguimos en la habitación esperando que regresen para el cambio de habitación.  Pésimo servicio. Pésima atención.",10
"El hotel de lo mejor, en cuánto a su ubicación, es estratégica y cerca de muchos lugares para negocios y de placer. En cuanto a sus instalaciones muy modernas y bien limpias. En lo general el hotel es de lo mejor.",50
"las habitaciones están muy bien y el personal muy amable, en si el hotel cuenta con lo necesario para que tengas un estancia agradable, queda cerca de lugares principales como la macroplaza, barrio antiguo, la fuente de Neptuno y el metro",50
