Comentario,Tipo
Seleccioné una mala calificación para este hotel porque sus instalaciones no son muy buenas. Fuimos en una noche y tuvimos que hacer muchas cosas que no había planeado para nosotros. Así que no había problema con las instalaciones y si estaba seguro de,0
"Seleccioné una mala calificación para este hotel porque la última vez que entré en este hotel nunca pude encontrar una habitación con vista al mar, la única habitación que me había recomendado era la doble (aunque hay en el área una habitación cuá",0
"Seleccioné una mala calificación para este hotel porque era el lugar mucho más sucio que he pisado en mi vida. El hotel está sucio, los botones de limpieza estaban en los pasillos, y la pintura de las",0
"Seleccioné una mala calificación para este hotel porque mi familia fue despedida en el mismo vuelo......... No recomiendo este hotel al precio que tienen.Más
Respuesta de Zhengzhou M,",0
"Seleccioné una mala calificación para este hotel porque lo rechazaron. Es un lugar muy grande y costoso y la recepcionista no era la mejor que pude contratar. Ella nos dijo que en lugar de una habitación común, debería haber una cama",0
"Seleccioné una mala calificación para este hotel porque era de un cliente y lo contraté para vacaciones de tres noches. En el precio, para ser honesto, este...”
“El motel está limpio y muy bien ubicado, la",0
"Seleccioné una mala calificación para este hotel porque no tenía ni idea de quien era. En realidad, sabía que estaba en la cima de la lista pero eso era una broma, no una realidad. ¡Oh! Me di",0
"Seleccioné una mala calificación para este hotel porque era un hotel con un aire bastante malo...., un montón de polvo, humedad y los elementos de desgaste son difíciles de ver, además de que no",0
"Seleccioné una mala calificación para este hotel porque su ubicación, junto a la Plaza de la Revolución se puede considerar una de las que son un poco más alejadas de la Habana y la Habana Vieja. El lugar donde estuvimos la",0
Seleccioné una mala calificación para este hotel porque era demasiado caro. Después de mi reciente estancia me dijo que la habitación estaba bastante sucia y vieja y que probablemente nos estaba dejando las cosas perdidas. Me fui al baño a la misma hora d,0
Seleccioné una mala calificación para este hotel porque no tiene todas las comodidades que podría tener una estadia de un día en un destino con ese nivel de alojamiento. Las tarifas hoteleras para el día en el que,0
"Seleccioné una mala calificación para este hotel porque estaba en el área de atracciones. Como soy un experto en hoteles en Disney, así es como nos alojamos y me gustaría ver, pero no nos importó tener",0
"Seleccioné una mala calificación para este hotel porque no se suponía que el hotel era...
Hotel muy bien ubicado - Opiniones sobre Hotel Villa Santa Isabel, San Rafael, Mendoza - Comentarios - TripAdvisor
Obtené respuestas rápidas del personal y de",0
"Seleccioné una mala calificación para este hotel porque su puntuación es un desastre. No me gustó demasiado, muy poco para mi gusto.
El hotel es bastante viejo y la habitación es sencilla. La conexión wifi no funciona,",0
"Seleccioné una mala calificación para este hotel porque habíamos viajado de Buenos Aires a Lima (mi país de origen) el fin de semana y queríamos quedarnos una noche...""
El hotel es de lo más",0
"Seleccioné una mala calificación para este hotel porque lo había comprado con antelación, con dos personas por dentro y un niño pequeño que le gustaba tomar agua y refrescos con su equipo...Más
Un agradable hotel situado justo en el medio de",0
Seleccioné una mala calificación para este hotel porque se supone que el hotel no es apto para los niños y tuve que volver a pasar por el control de pasaportes para comprobar el nivel de mi pasaporte. Finalmente me he dado cuenta,0
Seleccioné una mala calificación para este hotel porque en base a eso creo que podría ser un gran lugar para alojarse con un niño pequeño con necesidades especiales o de un viaje de trabajo. La habitación y el baño de,0
"Seleccioné una mala calificación para este hotel porque era absolutamente inaceptable, incluso la falta de personal. Estaba en la zona del desierto, a los lados del agua, y no habría sido demasiado sorprendente ver, en lugar d",0
"Seleccioné una mala calificación para este hotel porque en realidad nunca tuve un problema de inseguridad en el hotel, aunque no pude pasar de la cama y el desayuno para salir cuando llegué a la noche. Las habitaciones tenían",0
"Seleccioné una mala calificación para este hotel porque no tenía una experiencia tan buena como un gran hotel como el  siganns o el restaurante  el.Más
Me alojé aquí tres noches. Desde el momento que entramos en HKR",0
"Seleccioné una mala calificación para este hotel porque fue el más bonito y el más agradable durante nuestra última estancia en el año dos veces en el mes de enero 2016""Hola buenas tardes. Soy cliente de un host",0
"Seleccioné una mala calificación para este hotel porque tiene un excelente servicio, por lo que no debería ofrecerse en las reservas hechas por teléfono. Fue un terrible error de cara a nuestra mala experiencia en este hotel y tuvimos que",0
"Seleccioné una mala calificación para este hotel porque las críticas que tenía el resto del hotel también nos decían que el hotel no era lo más cómodo para trabajar, además nos decían que el servicio era muy bueno para los turistas y que los trabajadores de",0
"Seleccioné una mala calificación para este hotel porque no sé qué decir de su habitación muy oscura y sucia, el personal...Más
Hotel de carretera, no era nuestro objetivo, pero la verdad es terrible. Las habitaciones estaban",0
"Seleccioné una mala calificación para este hotel porque no estaba a la altura de los estándares del lugar. Estaba en una calle lateral, no hay ascensor, apenas había gente en la sala de estar, no hay aire",0
Seleccioné una mala calificación para este hotel porque no había más comentarios en Tripadvisor ni en booking ni en Tripadvisor.com así que la primera impresión que tuve de este hotel fue bastante confusa:,0
"Seleccioné una mala calificación para este hotel porque mi estancia no fue lo suficientemente buena como para recomendar este sitio o reservar. No creo que sea un hotel nuevo de buena calidad y el personal es mediocre.Más
Este año (4",0
Seleccioné una mala calificación para este hotel porque era demasiado caro para mí y por eso nunca volveríamos allí. Esta vez tuvimos que esperar hasta las 23.00 de la noche para que llegara la limpieza. El desayuno era delicioso. Las camas,0
"Seleccioné una mala calificación para este hotel porque las otras críticas muestran que estaba un poco sucio. El baño de la habitación y el vestíbulo no podía estar limpia. Sin embargo, mi habitación era...accesible en bicicleta (no",0
"Pasé una pésima estadía en este hotel por culpa de una mala experiencia con la recepción. Estuve en el cuarto de mi hermano dos noches. Ya no tenía la cama, al contrario, estaba super sucia. Los",0
"Pasé una pésima estadía en este hotel por varias razones. La habitación era un poco vieja, anticuada, llena de humedad. Aunque lo arreglaron no parecía haber cambiado absolutamente ninguna de las habitaciones, pero la cama era",0
Pasé una pésima estadía en este hotel por el poco tiempo de estadía y con el precio de una habitación más doble que una habitación triple. Las instalaciones de los...MásHace poco se ha hecho pública la versión,0
"Pasé una pésima estadía en este hotel por cuestiones laborales, lo único bueno que tuve (y creo que eso es lo que más se critica en la ciudad) es la mala recepción al momento de la",0
"Pasé una pésima estadía en este hotel por culpa de ese chico.
Fui a conocer la ciudad, el hotel y los alrededores, y cuando llegué de nuevo a Berlín, la primera decepción fue el cambio de",0
"Pasé una pésima estadía en este hotel por razones muy importantes. El desayuno era muy mediocre, y la atención de recepción muy lenta, no se molestaban en atender mis reclamaciones en la recepción como si nada.",0
"Pasé una pésima estadía en este hotel por razones laborales, por lo tanto he tenido que cambiar mi tarjeta de crédito por una que me dieron en mi banco y al pagar la visa la tarjeta fue cancelada ya la otra",0
"Pasé una pésima estadía en este hotel por las circunstancias climáticas, mi habitación estaba a mitad de precio, las camas se movían, al igual que las sábanas, era lo único que me molestaba a la hora de",0
"Pasé una pésima estadía en este hotel por la poca higiene de los empleados. Al entrar, para no hacer...público, hay una gran aglomeración de maletas en el hall y el personal no parece",0
"Pasé una pésima estadía en este hotel por las Crimea con 3 chicas (un hombre, una mujer y un hombre) de edades entre 15 y 40 años. La habitacion tiene un cuarto de baño, pero es",0
"Pasé una pésima estadía en este hotel por lo que estuve revisando mi email y todo, los mails que enviaba eran poco más de las 11 de la noche, la recepción, el encargado, como el encargado d",0
"Pasé una pésima estadía en este hotel por falta de información, mi madre es una persona a la cual siempre le he prestado demasiada atención y no quería tener que viajar de nuevo por más de 20 minutos",0
"Pasé una pésima estadía en este hotel por las molestias de una emergencia que tuvimos durante el tour, lo que me lleva a tener un hotel sin aire acondicionado en este hotel de Kuala Lumpur.",0
"Pasé una pésima estadía en este hotel por motivos familiares, y el hotel es pésimo. No en general, pero en general...Más
Respuesta de GuestAgentHotels, General Manager ",0
"Pasé una pésima estadía en este hotel por culpa de los impuestos para un viaje de negocios. En lugar del hotel típico pero con buenas vistas, las habitaciones (con aire acondicionado) son un poco antiguas y anticuadas,",0
"Pasé una pésima estadía en este hotel por culpa del personal, el pésimo servicio de la piscina esta sucio y deslucido no se si son los productos de limpieza o de la empresa que hace",0
"Pasé una pésima estadía en este hotel por motivos económicos. Las habitaciones no estaban bien, eran viejas, con pisos de tierra, que apenas existían las paredes, y en algunos casos les faltaba iluminación. Había cucarachas y",0
"Pasé una pésima estadía en este hotel por lo que me reservé esta línea para un viaje en el futuro” | Las estrellas de rock más odiadas: Las 10 peores cosas que puedes hacer
Una historia d",0
"Pasé una pésima estadía en este hotel por una semana y no pude dormir bien en todo el viaje, pero es el hotel más barato y acogedor de Buenos Aires, si bien no es el peor ",0
Pasé una pésima estadía en este hotel por la situación en la que me había alojado: el hotel está junto al mar pero no hay nadie en la habitación para hacer el check on-line sino que hay un conserje,0
Pasé una pésima estadía en este hotel por motivos de trabajo...MásEs un hotel muy acogedor y acogedor. Las personas que nos atendieron fueron muy agradables y muy amables. Las habitaciones eran cómodas y muy limpias. Para quien desee alojarse,0
"Pasé una pésima estadía en este hotel por el precio y la actitud de los empleados. Hotel para una noche estaba lleno de cucarachas y tuvimos que limpiar el baño, el baño...
Lo peor de este",0
"Pasé una pésima estadía en este hotel por que se me olvidaban de cambiar la maleta por un bulto y aunque me ofrecieron cambiarme una maleta que no correspondía a la mia, mi sorpresa fué mayor cuando al revisarlo me informaron",0
Pasé una pésima estadía en este hotel por la cantidad de pasajeros que estaban viajando en bus que se encontraban abordo. La ubicación es un tanto peligrosa para la gente que viaja y el ambiente de las,0
"Pasé una pésima estadía en este hotel por el tema de los precios... y luego de cancelar un viaje anterior,... más información
Hot buffalo no es el típico hotel de 4 estrellas,",0
"Pasé una pésima estadía en este hotel por cuestiones de trabajo. Es un hotel antiguo que de seguro cuenta con algunas deficiencias para el mantenimiento, como el deterioro de los baños y la conexión Wi-Fi.
",0
"Pasé una pésima estadía en este hotel por una situación que no había sido tratada anteriormente por mi Gerente. Mi compañero de habitación se fue con ellos, al principio tuvimos problemas porque no habíamos aceptado las habitaciones que se les pidió. En",0
"Pasé una pésima estadía en este hotel por problemas de conectividad e inseguridad que he venido observando últimamente en varios departamentos del país. No sé si las personas son más exigentes que los clientes de un alojamiento, pero",0
"Pasé una pésima estadía en este hotel por motivos laborales. El lugar no estaba muy limpio, su ubicación era extraña, el desayuno era muy deficiente y faltaba un poco de calidad por lo que era una pena ya que no se puede",0
"Pasé una pésima estadía en este hotel por primera vez en más de dos meses, no me sentía en mi lugar y no hay nadie para arreglar y me registré con mi amigo. En principio...
Muy",0
"Pasé una pésima estadía en este hotel por culpa del gerente y que este no podía poner una queja de este hotel...
El hotel esta mal ubicado, no hay mucha cercanía de parque o ciudad, lo malo d",0
"No regresaré a este hotel porque tengo que conseguir un trabajo en otro lugar donde tengo que aprender una nueva lección de la vida al final y aprender todas las experiencias Televisión del hotel
El hotel está situado en el centro ",0
"No regresaré a este hotel porque no puedo regresar a ningún sitio, no es el mejor que he estado, estoy más que sorprendido. El señor de las máquinas de limpieza no me deja ducharme o lavarse las manos",0
"No regresaré a este hotel porque no está en la categoría de la limpieza, pero el restaurante ofrece un menú de comida casera y una vista fantástica. El motel está en un punto muy conveniente de la",0
No regresaré a este hotel porque no me queda ningún lugar al cual ofrecer. El cambio de toallas cada vez que viajamos ha sido uno de los errores que se cometen en el resto de las zonas. Los cuartos,0
"No regresaré a este hotel porque ya no existe y me arrepiento de haber pagado.
Habitación pequeña y sucia (para unas noches es suficiente) como mínimo. El hotel no es el típico establecimiento de 5",0
"No regresaré a este hotel porque yo me encargo de un asunto de salud.
Me he alojado aquí para el tratamiento debido a mis problemas de hipertensión, pero, por desgracia, no se puede realizar, se me balcones",0
"No regresaré a este hotel porque el personal y el restaurante están fuera de servicio durante una hora”, informó la compañía. Además, el empleado comentó que no se habían registrado problemas durante el fin de semana con sus maletas.
Las",0
"No regresaré a este hotel porque en su interior hay niños pequeños que tienen muy claro cómo hay que evitar la violencia. No te preocupes ya que está en un barrio cercano y al que yo no iré.
Mi alojamiento e",0
"No regresaré a este hotel porque ya he hecho otra vez una visita al sitio. Estoy deseando volver.""""En caso de que no esté totalmente satisfecho con sus servicios anteriores, y no desea volver a confiar en nuestros servicios e",0
No regresaré a este hotel porque he estado aquí de vacaciones para una reunión anual de negocios. La casa está cerca de todo y hay muchas actividades para hacer. Es difícil volver a Nueva. La señora y el personal ,0
"No regresaré a este hotel porque los muchachos no están para nada preparados, y no tengo amigos para tomar en serio que este problema no pueda ser resuelto y no quiero arriesgar mi vida. No me he divertido en este hotel, solo",0
"No regresaré a este hotel porque he de conseguir otra habitación y no me gustaría que mis hijos me molestaran. Si me hubieran ofrecido una habitación adicional, incluso si tenía una buena tarifa de la habitación, seguramente haría esto y me",0
"No regresaré a este hotel porque todo el equipaje que tengo es de la misma gama de lo que compré en las condiciones ofrecidas por el hotel, así que es un hotel sin problemas. He leído y",0
No regresaré a este hotel porque no tengo un buen nivel de inglés y me da miedo ir a un lugar donde la gente habla español. Me dijo que si tuviera que elegir me decantaría por un hotel en el que no me,0
"No regresaré a este hotel porque sé que ha sido tomado por algo que yo no podría regresar a tomar de lo que ella tenía.
Ella es un gran profesional y la recepción de la habitación es muy amable",0
"No regresaré a este hotel porque no quiero hacer esa cosa. Estoy preocupado por mi seguridad”, dijo el representante.
La demanda del hotel fue interpuesta en 2005 por un joven de 16 años quien pedía $248.000 por",0
"No regresaré a este hotel porque no hay habitación disponible y la conexión del cuarto para huéspedes no está disponible. Para conseguir recomendaciones de seguridad completas, ponte en contacto con la hotelería local para conocer los mejores hoteles en los",0
"No regresaré a este hotel porque me he tomado un descanso” – dijo la madre de la niña.
Los investigadores ya están muy avanzados para establecer las causas por las cuales la niña salió de esta habitación de la planta",0
"No regresaré a este hotel porque no recuerdo donde fui, estuve bastante mal de salud."" Por un momento, se me olvida todo el hotel y me detengo a tomar el desayuno, con un pequeño pero muy agradable bufet que dice """,0
No regresaré a este hotel porque mi trabajo es muy pesado y me ha dicho que es de la mejor calidad y solo he hecho reservaciones para dos noches con mi pareja y todo el que venga a ese hotel me dirá,0
"No regresaré a este hotel porque me alojaron en la casa de una amiga de la familia. Fue todo un atentado dejar a nuestro animal de compañía dentro de su coche pero afortunadamente, afortunadamente no hubo",0
"No regresaré a este hotel porque estoy aquí para una reunión urgente”, expresó.
El presidente ruso, Vladímir Putin, recibió la víspera al primer ministro serbio, Pavlovic, justo antes de una cena de ingeniosos",0
"No regresaré a este hotel porque mi mujer embarazada todavía está enferma, la he pasado muy mal. Si volviera a este hotel, se quedaría aquí conmigo, así que nunca recomendaría a una familia que se alojara directamente en un hotel por sus",0
"No regresaré a este hotel porque soy un desastre de la vida”, aseguró.
El mismo día que el príncipe y la princesa llegaban, el palacio real de Windsor fue asaltado por un grupo de agentes d",0
"No regresaré a este hotel porque el precio de la habitación era muy caro, y debido a las pocas ventanas, la única forma de llegar a un lugar donde está realmente abierto es por helicóptero pero no tenían esa opción.",0
"No regresaré a este hotel porque siempre me han dicho que no tengo ni idea de los lugares donde pasan las personas. ¡No voy a permitir que mis vecinos me digan si me quieren seguir a toda costa!
Llegamos tarde para tomar el",0
"No regresaré a este hotel porque tuve unos problemas con mi tarjeta de crédito y fui rechazado. La habitación que nos asignaron era grande (unos 6...60 metros cuadrados) y muy limpia. La única queja que pondría, a pesar ",0
"No regresaré a este hotel porque me dijeron que mi reserva estaba cerrada hace una semana y que, tal vez, me quedaré allí una semana. Es un hotel de lujo y me sentí muy feliz de haberlo escogido. Las habitaciones",0
"No regresaré a este hotel porque el otro de la fila de frente me lo quitaron, pero en el segundo ya ni lo mire, era un hotel barato para pasar un par de días (1,500 pesos",0
"No regresaré a este hotel porque hay muchas cosas que hacer, pero, en general, no hay razón por la que no quieras que lo dejes de nuevo. El hotel está situado en un sitio tan bueno como lo ",0
"No regresaré a este hotel porque no creo que nadie me recomiende. El hotel esta en medio de un callejón.
Las opiniones sobre el hotel eran las más interesantes y las más divertidas. Para empezar la calidad del hotel era",0
"No les recomiendo este hotel pues no cumplió mis expectativas y no me pareció ni tan bueno ni tan elegante en la decoración, sin embargo me gusto la cercanía con la estación del metro o una estación más cercana por lo que no dudaré e",0
"No les recomiendo este hotel pues la mayoría de las habitaciones son viejas y feas, con olor a moho y un solo baño, lo único que tienen es una cafetera y lo demás se encuentra en el hotel a la orilla",0
"No les recomiendo este hotel pues su estilo es de otro mundo. El edificio es nuevo y las habitaciones son sencillas pero limpias (ni ventanas ni puertas) y cómodas. Las habitaciones están en buen estado, el único",0
"No les recomiendo este hotel pues la forma en que te asignan habitaciones en las que no tienen los servicios a los que tienen como camas, toallas, aire acondicionado y televisión ni siquiera tienen que llevar a la luz o televisión para ir",0
"No les recomiendo este hotel pues tiene un pequeño elevador y en la recepción no están acostumbrados a que te digan que no se atiende, a pesar de ello hay servicio de recepción.
El área de recepción me sorprendió",0
"No les recomiendo este hotel pues tiene una terraza y no está demasiado céntrico de la ciudad. Si no tienen habitaciones amplias, pueden contratar una suite por no más de 10 € o así. Aunque lo anterior se ve con cierta claridad ",0
"No les recomiendo este hotel pues cuando estuvimos la atención fué buena. No nos hospedamos en esefree hotel pues ya era de noche y el ruido molestaba a los huéspedes que estaban en un lugar tan concurrido, nos hosped",0
"No les recomiendo este hotel pues el servicio no es malo, el cuarto de baño es de diseño nuevo y muy limpio, no es lujoso. El trato del personal es bueno y los encargados muy",0
"No les recomiendo este hotel pues esta muy lejos del centro de la ciudad. Lo que me esperaba era para ir en taxi, y se supone que tienen disponible su servicio de recogida gratis al lado del hotel, lo cual no",0
"No les recomiendo este hotel pues por su ubicacion y el precio de su habitacion puede perder su tiempo y economia. El desayuno es muy basico y no existe suficiente variedad sobre que escoger, la ubicacion y el precio de",0
"No les recomiendo este hotel pues solo me dejan 3 habitaciones y de éstas tienen habitaciones comunicadas con el mismo hotel, en la desfe... Más búsquedas: apartamento en alquiler santiago puerto vallarta
Apartamento",0
"No les recomiendo este hotel pues no es el más conveniente, pero está cerca del centro y de la Playa del Inglés (3 minutos caminando), además está a 5 minutos en coche. Está muy bien ubicado, cerca d",0
No les recomiendo este hotel pues es de difícil acceso y su habitación ni siquiera esta en el cuarto de hotel. Con tanto mal servicio y que te cobran hasta por el uso del lobby. No es un,0
"No les recomiendo este hotel pues la mayoría están muy cerca de los museos de la ciudad. Las habitaciones no son realmente amplias como si fuesen una suite. Al tratarse de un hotel familiar, si quieres ahorrarte un diner",0
"No les recomiendo este hotel pues no es recomendable. Se puede dormir una...Más
Respuesta de JC_JB, Guest Relations Manager de Four Points by Sheraton HotelRespuesta de 12 ",0
"No les recomiendo este hotel pues nos quedamos en las dos noches que estuvimos, nos llovió. La habitación era espaciosa y bien equipada, con un baño pequeño de tamaño, una muy buena ducha en agua caliente, nevera para",0
"No les recomiendo este hotel pues es mas barato pero realmente el lugar no esta muy alejado de la playa, todo esta alejado del bus, del hotel, de los sitios de fiesta.
Cuando llegamos al hotel los",0
"No les recomiendo este hotel pues está en el centro de Valencia, pero si no han tenido la oportunidad pueden ir. Esta mal escrito, lo único bueno de este hotel es que, al igual que el primer...",0
"No les recomiendo este hotel pues sus precios no son muy accesibles. El hotel está en un buen barrio que se llama ""Birkallah"", el cual se encuentra a 15 minutos a pie.
Nos alojamos en la habitación",0
"No les recomiendo este hotel pues está a más de 40 mil pesos por noche y cobran como de 15 mil a 20 mil dólares, en su página dan la opción de tomar un taxi que te lleva a cualquier hotel",0
"No les recomiendo este hotel pues en lugar de eso sólo están en problemas. Me parece ridículo...Más
Hotel hermoso y cálido, atención al detalle, habitaciones de lo más bonitas, excelente atención y limpieza, las",0
"No les recomiendo este hotel pues esta muy sucio. Lo unico positivo de este hotel han sido los dos ascensores que daban a una habitacion, en todo momento no nos prestaron servicio ni de noche ni de dia,",0
"No les recomiendo este hotel pues no me parecieron una buena experiencia, lo han dejado en mal estado sin ningún interés, no es algo que recomendaría (ni mi novia ni yo) porque, como todo, en este caso no",0
"No les recomiendo este hotel pues la habitación es muy...Más
Mi experiencia en este hotel es de 4 estrellas por el precio y la ubicación. El hotel está a diez minutos a pié de la playa",0
"No les recomiendo este hotel pues esta bastante en mal estado y los cuartos no son muy cómodos, la comida es deliciosa, y las porciones de comida son grandes
“Hotel, todo en un diseño minimalista, moderno",0
"No les recomiendo este hotel pues tienen muy mal gusto las alfombras que se le colocan por las habitaciones no son del todo cómodas es un hotel de dos pisos se puede entrar hasta el tercer piso y las habitaciones del sexto, que si quieren",0
"No les recomiendo este hotel pues como ya mencione, es muy caro aunque puede resultar en una buena opción por el precio justo de una habitación en el hotel, los servicios a los cuales se presentan los precios ",0
"No les recomiendo este hotel pues tiene una muy mala vista con su famoso ""gatos locos"" donde la mayoría de los cuartos son con vistas a la ciudad y otras que son más pequeñas. Todo es diferente, el ambiente e",0
"No les recomiendo este hotel pues si alguien viene a nuestra ciudad y desea vivir una experiencia memorable debe pasar por aquí, está dentro del proyecto de la Asociación de las Mariposas. El tema son los perros. Una semana de",0
"No les recomiendo este hotel pues la ubicación es inmejorable, a dos cuadras la Catedral del Señor de Aranzazu, esta espectacular. Las habitaciones son grandes, las instalaciones también. Tienen una piscina (sin cargo), hay jacuzzi, gimnasio",0
"No les recomiendo este hotel pues el servicio a domicilio se ha de adaptar a las necesidades de aquellos que sufren de sobrepeso”, agrega el gerente de comunicaciones de BH.
Según dice el portal e",0
"No vengan a este hotel pues si la gente que va a trabajar o pasar unos días de descanso en este hotel es gay en las instalaciones del mismo, no se que les parece esta oferta, bueno si, ",0
"No vengan a este hotel pues el personal no es muy agradable (es muy amable) y se demora mucho en la recepción, la situación no es buena, pues está en uno de los caminos cercanos",0
"No vengan a este hotel pues hay dos autos por la puerta por donde entra, el primero se llama Hotel A y el segundo Hotel B. ¿Entonces qué más me pueden decir acerca de este hotel?
El Hotel B (B) ",0
"No vengan a este hotel pues tengo otras opciones. Si bien hay un amplio restaurante en el centro de la ciudad y tiene aparcamiento, no lo hacen gratis, no te dejes guiar por la publicidad que a todas horas circulan por Internet...",0
"No vengan a este hotel pues la noche es larga- es la primera vez que vamos a un hotel que no nos gusta de las chicas...
- Si, me di media vuelta para ver a mi hermano, entonces con",0
"No vengan a este hotel pues no hay nadie en el hotel, solo la señora. Y no hay lugar para dormir en la habitación, solo hay un par de camas enormes. Y el agua caliente solo puede ser utilizada para",0
"No vengan a este hotel pues a mi, mi hermano, me lo han puesto en el metro, y el metro no se mueve, y dandonos por culo a los pasajeros,que van sentados,y el que no esta,pues",0
"No vengan a este hotel pues la hospitalidad está lejos y los precios son carísimos, si no es para quedarse nos quedaríamos.
Los mejores sitios de Costacanes en Baymont, en TripAdvisor: Encuentra",0
